Model,Precision Format,Accuracy,Precision,Recall,F1 Score
bilstm,fp16,0.9580,0.7560,0.9582,0.8245
bilstm,fp32,0.9491,0.7340,0.9543,0.7979
cnn1d,fp16,0.9645,0.7781,0.9690,0.8367
cnn1d,fp32,0.9420,0.7278,0.9606,0.7830
cnn1d,int8_dynamic,0.9415,0.7268,0.9607,0.7822
cnn1d,int8_static,0.9453,0.7354,0.9608,0.7893
cnn1d,qat_int8,0.9752,0.8432,0.9648,0.8931
resnet1d,fp16,0.9727,0.8110,0.9728,0.8668
resnet1d,fp32,0.9639,0.7844,0.9646,0.8461
resnet1d,int8_dynamic,0.9637,0.7834,0.9646,0.8452
transformer,fp16,0.9384,0.7172,0.9581,0.7823
transformer,fp32,0.9458,0.7235,0.9547,0.7893
